[notice]
copyright[200]="Copyright Commonwealth of Australia 2015, Bureau of Meteorology. For more information see: http://www.bom.gov.au/other/copyright.shtml http://www.bom.gov.au/other/disclaimer.shtml"
copyright_url[80]="http://www.bom.gov.au/other/copyright.shtml"
disclaimer_url[80]="http://www.bom.gov.au/other/disclaimer.shtml"
feedback_url[80]="http://www.bom.gov.au/other/feedback"
[$]

[header]
refresh_message[80]="Issued at  1:31 pm EST Tuesday  7 April 2015"
ID[80]="IDV60901"
main_ID[80]="IDV60900"
name[80]="Melbourne (Olympic Park)"
state_time_zone[80]="VIC"
time_zone[80]="EST"
product_name[80]="Capital City Observations"
state[80]="Victoria"
[$]

[data]
sort_order,wmo,name[80],history_product[80],local_date_time[80],local_date_time_full[80],aifstime_utc[80],air_temp,apparent_t,cloud[80],cloud_base_m,cloud_oktas,cloud_type[80],cloud_type_id,delta_t,dewpt,gust_kmh,gust_kt,lat,lon,press,press_msl,press_qnh,press_tend[80],rain_trace[80],rel_hum,sea_state[80],swell_dir_worded[80],swell_height,swell_period,vis_km[80],weather[80],wind_dir[80],wind_spd_kmh,wind_spd_kt
111,95936,"Melbourne (Olympic Park)","IDV60901","05/06:00am","20150405060000","20150404200000",13.3,12.7,"-",-9999,-9999,"-",-9999,2.3,8.8,9,5,-37.8,145.0,1012.3,1012.3,1012.3,"-","0.0",74,"-","-",-9999.0,-9999,"-","-","WSW",2,1
112,95936,"Melbourne (Olympic Park)","IDV60901","05/05:30am","20150405053000","20150404193000",12.7,12.4,"-",-9999,-9999,"-",-9999,2.0,8.8,0,0,-37.8,145.0,1012.2,1012.2,1012.2,"-","0.0",77,"-","-",-9999.0,-9999,"-","-","CALM",0,0
113,95936,"Melbourne (Olympic Park)","IDV60901","05/05:00am","20150405050000","20150404190000",12.7,12.6,"-",-9999,-9999,"-",-9999,1.7,9.3,6,3,-37.8,145.0,1012.3,1012.3,1012.3,"-","0.0",80,"-","-",-9999.0,-9999,"-","-","CALM",0,0
114,95936,"Melbourne (Olympic Park)","IDV60901","05/04:30am","20150405043000","20150404183000",11.9,11.8,"-",-9999,-9999,"-",-9999,1.2,9.6,6,3,-37.8,145.0,1012.4,1012.4,1012.4,"-","0.0",86,"-","-",-9999.0,-9999,"-","-","CALM",0,0
115,95936,"Melbourne (Olympic Park)","IDV60901","05/04:00am","20150405040000","20150404180000",12.6,12.8,"-",-9999,-9999,"-",-9999,1.0,10.7,0,0,-37.8,145.0,1012.5,1012.5,1012.5,"-","0.0",88,"-","-",-9999.0,-9999,"-","-","CALM",0,0
116,95936,"Melbourne (Olympic Park)","IDV60901","05/03:30am","20150405033000","20150404173000",12.5,12.1,"-",-9999,-9999,"-",-9999,1.4,9.7,7,4,-37.8,145.0,1012.7,1012.7,1012.7,"-","0.0",83,"-","-",-9999.0,-9999,"-","-","ENE",2,1
117,95936,"Melbourne (Olympic Park)","IDV60901","05/03:00am","20150405030000","20150404170000",12.2,12.2,"-",-9999,-9999,"-",-9999,0.5,11.3,7,4,-37.8,145.0,1012.9,1012.9,1012.9,"-","0.0",94,"-","-",-9999.0,-9999,"-","-","E",2,1
118,95936,"Melbourne (Olympic Park)","IDV60901","05/03:30am","20150405033000","20150404163000",12.6,13.2,"-",-9999,-9999,"-",-9999,0.4,11.8,0,0,-37.8,145.0,1013.2,1013.2,1013.2,"-","0.0",95,"-","-",-9999.0,-9999,"-","-","CALM",0,0
119,95936,"Melbourne (Olympic Park)","IDV60901","05/03:00am","20150405030000","20150404160000",12.8,13.4,"-",-9999,-9999,"-",-9999,0.5,11.9,0,0,-37.8,145.0,1013.5,1013.5,1013.5,"-","0.0",94,"-","-",-9999.0,-9999,"-","-","CALM",0,0
120,95936,"Melbourne (Olympic Park)","IDV60901","05/02:30am","20150405023000","20150404153000",13.0,13.5,"-",-9999,-9999,"-",-9999,0.7,11.7,0,0,-37.8,145.0,1013.7,1013.7,1013.7,"-","0.0",92,"-","-",-9999.0,-9999,"-","-","CALM",0,0
121,95936,"Melbourne (Olympic Park)","IDV60901","05/02:00am","20150405020000","20150404150000",13.4,14.0,"-",-9999,-9999,"-",-9999,0.9,11.8,0,0,-37.8,145.0,1013.7,1013.7,1013.7,"-","0.0",90,"-","-",-9999.0,-9999,"-","-","CALM",0,0
122,95936,"Melbourne (Olympic Park)","IDV60901","05/01:30am","20150405013000","20150404143000",13.5,14.2,"-",-9999,-9999,"-",-9999,0.8,12.1,0,0,-37.8,145.0,1014.1,1014.1,1014.1,"-","0.0",91,"-","-",-9999.0,-9999,"-","-","CALM",0,0
123,95936,"Melbourne (Olympic Park)","IDV60901","05/01:00am","20150405010000","20150404140000",14.3,14.6,"-",-9999,-9999,"-",-9999,1.1,12.3,7,4,-37.8,145.0,1014.5,1014.5,1014.5,"-","0.0",88,"-","-",-9999.0,-9999,"-","-","NW",2,1
124,95936,"Melbourne (Olympic Park)","IDV60901","05/12:30am","20150405003000","20150404133000",14.6,15.3,"-",-9999,-9999,"-",-9999,1.3,12.3,6,3,-37.8,145.0,1014.6,1014.6,1014.6,"-","0.0",86,"-","-",-9999.0,-9999,"-","-","CALM",0,0
125,95936,"Melbourne (Olympic Park)","IDV60901","05/12:00am","20150405000000","20150404130000",15.3,16.3,"-",-9999,-9999,"-",-9999,1.2,13.1,6,3,-37.8,145.0,1014.8,1014.8,1014.8,"-","0.0",87,"-","-",-9999.0,-9999,"-","-","CALM",0,0
126,95936,"Melbourne (Olympic Park)","IDV60901","04/11:30pm","20150404233000","20150404123000",16.0,16.3,"-",-9999,-9999,"-",-9999,1.5,13.3,11,6,-37.8,145.0,1014.9,1014.9,1014.9,"-","0.0",84,"-","-",-9999.0,-9999,"-","-","WNW",4,2
127,95936,"Melbourne (Olympic Park)","IDV60901","04/11:00pm","20150404230000","20150404120000",16.5,16.5,"-",-9999,-9999,"-",-9999,1.6,13.6,11,6,-37.8,145.0,1014.9,1014.9,1014.9,"-","0.0",83,"-","-",-9999.0,-9999,"-","-","WSW",6,3
128,95936,"Melbourne (Olympic Park)","IDV60901","04/10:30pm","20150404223000","20150404113000",16.6,16.4,"-",-9999,-9999,"-",-9999,1.6,13.7,11,6,-37.8,145.0,1014.8,1014.8,1014.8,"-","0.0",83,"-","-",-9999.0,-9999,"-","-","WSW",7,4
129,95936,"Melbourne (Olympic Park)","IDV60901","04/10:00pm","20150404220000","20150404110000",14.9,15.6,"-",-9999,-9999,"-",-9999,1.5,12.2,6,3,-37.8,145.0,1014.7,1014.7,1014.7,"-","0.0",84,"-","-",-9999.0,-9999,"-","-","CALM",0,0
130,95936,"Melbourne (Olympic Park)","IDV60901","04/09:30pm","20150404213000","20150404103000",15.4,16.0,"-",-9999,-9999,"-",-9999,1.8,12.0,0,0,-37.8,145.0,1014.7,1014.7,1014.7,"-","0.0",80,"-","-",-9999.0,-9999,"-","-","CALM",0,0
131,95936,"Melbourne (Olympic Park)","IDV60901","04/09:00pm","20150404210000","20150404100000",15.8,16.4,"-",-9999,-9999,"-",-9999,2.2,11.8,0,0,-37.8,145.0,1014.6,1014.6,1014.6,"-","0.0",77,"-","-",-9999.0,-9999,"-","-","CALM",0,0
132,95936,"Melbourne (Olympic Park)","IDV60901","04/08:30pm","20150404203000","20150404093000",16.3,16.8,"-",-9999,-9999,"-",-9999,2.6,11.5,0,0,-37.8,145.0,1014.6,1014.6,1014.6,"-","0.0",73,"-","-",-9999.0,-9999,"-","-","CALM",0,0
133,95936,"Melbourne (Olympic Park)","IDV60901","04/08:00pm","20150404200000","20150404090000",17.1,17.5,"-",-9999,-9999,"-",-9999,3.2,11.2,0,0,-37.8,145.0,1014.4,1014.4,1014.4,"-","0.0",68,"-","-",-9999.0,-9999,"-","-","CALM",0,0
134,95936,"Melbourne (Olympic Park)","IDV60901","04/07:30pm","20150404193000","20150404083000",18.1,18.3,"-",-9999,-9999,"-",-9999,4.1,10.5,0,0,-37.8,145.0,1014.3,1014.3,1014.3,"-","0.0",61,"-","-",-9999.0,-9999,"-","-","CALM",0,0
135,95936,"Melbourne (Olympic Park)","IDV60901","04/07:00pm","20150404190000","20150404080000",19.0,19.0,"-",-9999,-9999,"-",-9999,4.9,9.8,0,0,-37.8,145.0,1014.1,1014.1,1014.1,"-","0.0",55,"-","-",-9999.0,-9999,"-","-","CALM",0,0
136,95936,"Melbourne (Olympic Park)","IDV60901","04/06:30pm","20150404183000","20150404073000",19.7,18.2,"-",-9999,-9999,"-",-9999,5.5,9.3,15,8,-37.8,145.0,1014.0,1014.0,1014.0,"-","0.0",51,"-","-",-9999.0,-9999,"-","-","SSW",7,4
137,95936,"Melbourne (Olympic Park)","IDV60901","04/06:00pm","20150404180000","20150404070000",20.8,18.5,"-",-9999,-9999,"-",-9999,6.2,9.1,15,8,-37.8,145.0,1014.0,1014.0,1014.0,"-","0.0",47,"-","-",-9999.0,-9999,"-","-","SSW",11,6
138,95936,"Melbourne (Olympic Park)","IDV60901","04/05:30pm","20150404173000","20150404063000",23.4,21.3,"-",-9999,-9999,"-",-9999,8.6,6.7,13,7,-37.8,145.0,1013.9,1013.9,1013.9,"-","0.0",34,"-","-",-9999.0,-9999,"-","-","SSW",7,4
139,95936,"Melbourne (Olympic Park)","IDV60901","04/05:00pm","20150404170000","20150404060000",22.8,21.2,"-",-9999,-9999,"-",-9999,7.9,7.8,9,5,-37.8,145.0,1014.1,1014.1,1014.1,"-","0.0",38,"-","-",-9999.0,-9999,"-","-","SSW",6,3
140,95936,"Melbourne (Olympic Park)","IDV60901","04/04:30pm","20150404163000","20150404053000",22.7,20.7,"-",-9999,-9999,"-",-9999,8.0,7.3,13,7,-37.8,145.0,1014.3,1014.3,1014.3,"-","0.0",37,"-","-",-9999.0,-9999,"-","-","SSW",7,4
141,95936,"Melbourne (Olympic Park)","IDV60901","04/04:00pm","20150404160000","20150404050000",22.3,20.4,"-",-9999,-9999,"-",-9999,7.1,9.1,15,8,-37.8,145.0,1014.6,1014.6,1014.6,"-","0.0",43,"-","-",-9999.0,-9999,"-","-","S",9,5
142,95936,"Melbourne (Olympic Park)","IDV60901","04/03:30pm","20150404153000","20150404043000",22.3,21.4,"-",-9999,-9999,"-",-9999,6.1,11.4,13,7,-37.8,145.0,1015.0,1015.0,1015.0,"-","0.0",50,"-","-",-9999.0,-9999,"-","-","SSW",7,4
143,95936,"Melbourne (Olympic Park)","IDV60901","04/03:00pm","20150404150000","20150404040000",19.9,18.9,"-",-9999,-9999,"-",-9999,4.2,12.4,17,9,-37.8,145.0,1015.4,1015.4,1015.4,"-","0.0",62,"-","-",-9999.0,-9999,"-","-","SSW",9,5
[$]

